RecordId,RecordTimeSeconds,RecordTimeNanoSeconds,OrientationX,OrientationY,OrientationZ,OrientationW,AngularAccelerationX,AngularAccelerationY,AngularAccelerationZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,Roll,Pitch,Yaw,DeltaT,Velocityx,Velocityy,Velocityz
23,1515079475,134435210,0.001810175,6.66244E-05,-0.145473689,-0.989360511,-0.010506012,0.037134979,0.003210058,0.07433591,0.359693229,-9.700340271,-0.206334876,0.022622345,16.72940852,10255579,0.053168748,0.001517251,-2.301102212
24,1515079475,144659131,0.001887952,-9.67207E-05,-0.145484552,-0.989358783,-0.009894572,0.033650462,0.002853687,0.371186912,0.351004481,-9.938923836,-0.212429263,0.042440049,16.7306315,10223921,0.056963734,0.005105893,-2.402716984
25,1515079475,154976403,0.001952144,-0.000204965,-0.145493075,-0.989357352,-0.008973459,0.020187581,0.004562223,0.514452875,0.320058048,-10.12803936,-0.21790181,0.055783988,16.7315931,10317272,0.062271484,0.008408019,-2.507210721
26,1515079475,165357109,0.001995265,-0.000239934,-0.14549616,-0.989356816,-0.008267669,0.007021375,0.002548153,0.190308303,0.322709858,-9.941363335,-0.222207448,0.060468074,16.73194093,10380706,0.064247019,0.011757975,-2.610409091
27,1515079475,175620528,0.002031559,-0.000269462,-0.145507813,-0.989355028,-0.005504143,0.010726636,0.003212375,0.008274062,0.246568754,-9.737091064,-0.225829083,0.064423538,16.73328236,10263419,0.064331939,0.014288614,-2.710344937
28,1515079475,185908081,0.002073651,-0.000365627,-0.145524696,-0.989352405,-0.004524397,0.025455192,0.003904774,0.193041176,0.288093925,-10.0345726,-0.228996483,0.076031713,16.73521448,10287553,0.06631786,0.017252395,-2.813576134
29,1515079475,196157251,0.002121526,-0.000506104,-0.145533651,-0.989350855,-0.0042726,0.030740401,0.003190598,0.237110406,0.267551482,-10.11238194,-0.232080779,0.092758238,16.73621746,10249170,0.068748045,0.019994576,-2.917219656
30,1515079475,206374076,0.002162725,-0.000654804,-0.145541549,-0.989349604,-0.002888048,0.030532498,0.003900403,0.119026244,0.237960562,-9.811441422,-0.23427092,0.110305446,16.73709888,10216825,0.069964115,0.022425777,-3.017461436
31,1515079475,216606863,0.002186049,-0.000750877,-0.14554657,-0.989348769,-0.001288801,0.016344462,0.004390671,0.224563047,0.162323192,-9.769661903,-0.235312356,0.121587621,16.73765873,10232787,0.072262021,0.024086796,-3.117432305
32,1515079475,226817965,0.002197996,-0.000805156,-0.14554961,-0.989348233,0.000679875,0.008309127,0.004475748,0.326747447,0.175012872,-10.16875553,-0.235761184,0.127941291,16.7379981,10211102,0.075598473,0.02587387,-3.221266505
33,1515079475,237010478,0.002207591,-0.000855482,-0.145551056,-0.989347935,0.001580458,0.013411297,0.003988663,0.045850642,0.270497024,-9.954584122,-0.23600947,0.133807152,16.73815387,10192513,0.076065806,0.028630915,-3.322728733
34,1515079475,247271746,0.002226459,-0.000975104,-0.145553023,-0.989347458,0.00011438,0.029085366,0.004645172,-0.093423568,0.308079273,-9.762322426,-0.236153096,0.147683981,16.73835493,10261268,0.075107162,0.031792199,-3.42290254
35,1515079475,257541878,0.002255385,-0.001155458,-0.145557582,-0.989346564,-0.00068317,0.039144393,0.004438557,0.148043662,0.113370329,-9.869773865,-0.236423717,0.168614437,16.73884444,10270132,0.076627589,0.032956527,-3.52426642
36,1515079475,267750614,0.002284057,-0.001335299,-0.14557822,-0.989343286,-0.000142941,0.035628397,0.003917845,0.360081136,-0.101277351,-10.17162704,-0.236670952,0.189486386,16.74119708,10208736,0.080303563,0.031922613,-3.628105875
37,1515079475,277993390,0.002301288,-0.001458481,-0.145595655,-0.989340425,-0.000202579,0.022686465,0.00449819,0.332016796,0.034125213,-10.04513359,-0.236565962,0.203743307,16.74318943,10242776,0.083704336,0.03227215,-3.730995929
38,1515079475,288180458,0.002324624,-0.001538069,-0.145608068,-0.989338458,-0.001987592,0.016310219,0.00404187,0.213240147,0.167493552,-9.767747879,-0.237881219,0.213158508,16.74460874,10187068,0.085876628,0.033978418,-3.83050064
39,1515079475,298419271,0.002347521,-0.001595733,-0.145622581,-0.989336133,-0.003045442,0.010999031,0.004468289,0.223813683,0.059520721,-10.04382038,-0.23951167,0.220081484,16.74627406,10238813,0.088168215,0.03458784,-3.933337439
40,1515079475,303533771,0.002374799,-0.001677105,-0.145628408,-0.98933512,-0.003004682,0.019434769,0.004706983,0.183266506,0.024527654,-9.982955933,-0.241245097,0.229763207,16.74692923,5114500,0.089105531,0.034713287,-3.984395267
41,1515079475,313765911,0.002404182,-0.001817295,-0.145641416,-0.989332914,-0.000429278,0.031893421,0.004705283,0.096790694,0.190652221,-9.817228317,-0.242233867,0.246150064,16.74840513,10232140,0.090095907,0.036664067,-4.084846522
42,1515079475,324068725,0.002443532,-0.001985811,-0.145650327,-0.989331186,-0.001922921,0.033734553,0.003890393,0.276076078,0.081704482,-9.743169785,-0.24388035,0.265913607,16.74939873,10302814,0.092940268,0.037505853,-4.185228588
43,1515079475,334306741,0.002473543,-0.002130691,-0.145665988,-0.989328504,-0.000367844,0.02730903,0.003905311,0.4478558,-0.021439247,-10.07808685,-0.244860396,0.282843442,16.75118054,10238016,0.097525423,0.037286357,-4.288408202
44,1515079475,344518308,0.002490217,-0.002221938,-0.145666808,-0.989328146,-0.000390172,0.016235642,0.004275468,0.360507905,0.129028603,-9.948950768,-0.24522752,0.293466599,16.75125596,10211567,0.101206773,0.038603942,-4.39000258
45,1515079475,354725221,0.002505895,-0.002294333,-0.145670563,-0.989327312,0.00014018,0.016269302,0.003636945,0.153372437,0.134033471,-9.717148781,-0.245795506,0.301936545,16.75167348,10206913,0.102772232,0.03997201,-4.489184672
46,1515079475,364999316,0.00252424,-0.00238779,-0.145684257,-0.989325047,-0.000150389,0.023133758,0.003772793,0.219388157,0.017930264,-9.728741646,-0.246311032,0.312841409,16.75323962,10274095,0.105026247,0.040156227,-4.589138688
47,1515079475,375252761,0.002543926,-0.002533064,-0.145698473,-0.989322543,0.00093559,0.030496009,0.004607775,0.357756168,0.070259258,-10.04342842,-0.246113146,0.329643202,16.75485756,10253445,0.10869448,0.040876626,-4.692118429
48,1515079475,385545560,0.002567045,-0.002686884,-0.145732209,-0.989317119,0.001535501,0.032368347,0.004786989,0.382859886,0.192293242,-9.805137634,-0.246154356,0.347476046,16.75873469,10292799,0.11263518,0.042855862,-4.79304074
49,1515079475,395799450,0.00257992,-0.002814558,-0.145746142,-0.989314675,0.002469274,0.02193756,0.00430943,0.318347931,0.094155535,-9.747047424,-0.245477015,0.362168693,16.76032551,10253890,0.115899485,0.043821323,-4.892985892
50,1515079475,406039451,0.002582052,-0.002882802,-0.145829707,-0.989302158,0.001897467,0.009366464,0.004595775,0.397141665,0.038437836,-9.948095322,-0.244547812,0.369961625,16.7699946,10240001,0.119966216,0.044214926,-4.994854398
51,1515079475,416322680,0.002580635,-0.002902829,-0.145910859,-0.989290178,0.000979419,0.002965246,0.003332702,0.311415195,-0.096516371,-10.01574421,-0.244022094,0.372228384,16.77939295,10283229,0.12316857,0.043222426,-5.097848589
